STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       5100;2023032203:40;    1;   -999;    0.0;    0.0;   0;   112.75;2023032204:00;eor
       5100;2023032204:40;    1;   -999;    0.0;    0.0;   0;   103.91;2023032205:00;eor
       5100;2023032205:40;    1;   -999;    0.0;    0.0;   0;    94.44;2023032206:00;eor
       5100;2023032206:40;    1;   -999;   12.0;   13.0;   0;    84.74;2023032207:00;eor
       5100;2023032207:40;    1;   -999;   25.0;   25.0;   0;    75.24;2023032208:00;eor
       5100;2023032208:40;    1;   -999;   47.0;   48.0;   0;    66.36;2023032209:00;eor
       5100;2023032209:40;    1;   -999;   78.0;   92.0;  13;    58.64;2023032210:00;eor
       5100;2023032210:40;    1;   -999;   95.0;  107.0;   7;    52.77;2023032211:00;eor
       5100;2023032211:40;    1;   -999;  113.0;  141.0;  31;    49.54;2023032212:00;eor
       5100;2023032212:40;    1;   -999;  120.0;  144.0;  16;    49.52;2023032213:00;eor
       5100;2023032213:40;    1;   -999;  122.0;  143.0;  22;    52.72;2023032214:00;eor
       5100;2023032214:40;    1;   -999;   79.0;   82.0;   0;    58.56;2023032215:00;eor
       5100;2023032215:40;    1;   -999;   35.0;   36.0;   0;    66.26;2023032216:00;eor
       5100;2023032216:40;    1;   -999;   22.0;   22.0;   0;    75.13;2023032217:00;eor
       5100;2023032217:40;    1;   -999;    7.0;    7.0;   0;    84.61;2023032218:00;eor
       5100;2023032218:40;    1;   -999;    0.0;    0.0;   0;    94.27;2023032219:00;eor
       5100;2023032219:40;    1;   -999;    0.0;    0.0;   0;   103.72;2023032220:00;eor
       5100;2023032220:40;    1;   -999;    0.0;    0.0;   0;   112.52;2023032221:00;eor
       5100;2023032221:40;    1;   -999;    0.0;    0.0;   0;   120.14;2023032222:00;eor
       5100;2023032222:40;    1;   -999;    0.0;    0.0;   0;   125.89;2023032223:00;eor
       5100;2023032223:40;    1;   -999;    0.0;    0.0;   0;   129.02;2023032300:00;eor
       5100;2023032300:40;    1;   -999;    0.0;    0.0;   0;   129.00;2023032301:00;eor
       5100;2023032301:40;    1;   -999;    0.0;    0.0;   0;   125.84;2023032302:00;eor
       5100;2023032302:40;    1;   -999;    0.0;    0.0;   0;   120.06;2023032303:00;eor
       5100;2023032303:40;    1;   -999;    0.0;    0.0;   0;   112.42;2023032304:00;eor
       5100;2023032304:40;    1;   -999;    0.0;    0.0;   0;   103.60;2023032305:00;eor
       5100;2023032305:40;    1;   -999;    0.0;    0.0;   0;    94.13;2023032306:00;eor
       5100;2023032306:40;    1;   -999;    6.0;    6.0;   0;    84.44;2023032307:00;eor
       5100;2023032307:40;    1;   -999;   22.0;   22.0;   0;    74.93;2023032308:00;eor
       5100;2023032308:40;    1;   -999;   43.0;   44.0;   0;    66.03;2023032309:00;eor
       5100;2023032309:40;    1;   -999;   55.0;   57.0;   0;    58.29;2023032310:00;eor
